id,question_id,body,date_written,answerer_name,answerer_email,reported,helpful
1,36,"Supposedly suede, but I think its synthetic",1599958385988,sillyguy,first.last@gmail.com,0,1
2,13,"Some kind of recycled rubber, works great!",1615008233634,marcanthony,first.last@gmail.com,0,2
3,23,"Some kind of recycled rubber, works great!",1592693405366,iluvdogz,first.last@gmail.com,0,3
4,26,No,1596547018643,Seller,first.last@gmail.com,0,4
5,1,Something pretty soft but I can't be sure,1599990560555,metslover,first.last@gmail.com,0,5
6,28,I wouldn't machine wash it,1611767721834,warmkid,first.last@cbs.com,1,6
7,1,Its the best! Seriously magic fabric,1614451524662,metslover,first.last@gmail.com,0,7
8,1,DONT BUY IT! It's bad for the environment,1600552162548,metslover,first.last@gmail.com,0,8
9,28,Only if you want to ruin it!,1612517216955,warmkid,first.last@cbs.com,1,9
10,34,I've thrown it in the wash and it seems fine,1600421746125,skilover,first.last@cbs.com,0,1
11,34,It says not to,1596810657486,skilover,first.last@cbs.com,0,2
12,34,Yes,1596584232121,skilover,first.last@cbs.com,0,3
13,36,Something pretty soft but I can't be sure,1600528759352,sillyguy,first.last@gmail.com,0,4
14,29,Something pretty soft but I can't be sure,1612517216955,superman,first.last@gmail.com,0,5
15,36,Its the best! Seriously magic fabric,1615419078495,sillyguy,first.last@gmail.com,0,6
62423,31989,Ipsa quod dolore facere cupiditate doloremque vel molestiae tempora.,1598714814748,Maynard_OKeefe,Maribel_Stokes60@yahoo.com,0,12
62424,31989,Vel tempora laboriosam tempore nam autem temporibus minus sed.,1592838387479,Haskell9,Kaleb48@hotmail.com,0,12
62425,31990,Animi voluptatibus est debitis et.,1593464963547,Emilie23,Thurman11@yahoo.com,0,1
62426,31990,Placeat nemo quia est non unde aut quas qui.,1593530538350,Mervin_Osinski,Heloise_Ruecker@yahoo.com,0,10
62427,31990,Ad non dolor earum facere corrupti provident.,1597603170462,Tessie.Doyle,Bernardo_Kutch70@hotmail.com,0,8
62428,31990,Reiciendis ut eum autem.,1608735597060,Constance95,Vesta_Sanford@yahoo.com,0,11
420131,215202,Vero quia fugiat aut dignissimos rerum asperiores distinctio.,1600959819348,Audra_Kutch,Mckayla56@hotmail.com,0,3
420132,215202,Aut iste quas laboriosam perspiciatis omnis.,1611947339175,Ora.Jenkins11,Rick_Kreiger@hotmail.com,0,17
420133,215203,Quia expedita repellat.,1616129260252,Enola_Streich92,Damion.Hartmann@gmail.com,0,4
420134,215203,Et natus libero.,1617998542705,Kaitlin34,Delfina_Hahn@gmail.com,0,6
